题目名,简单题目描述,难度,知识点,作者,慕码ID,题目文件夹
随机元素出现次数,使用 random 生成随机数列并统计每个数的出现次数,2,random|随机数|collections-Counter,MOOCTEST,1671,BuiltInModules/random/67_ElementsCount
正则表达式中的findall函数,使用正则表达式的 findall() 查找数字,2,正则表达式|re,黎宇,2883/1627,BuiltInModules/re/re5
正则表达式的sub函数,使用正则表达式的 sub() 处理电话号码,2,正则表达式|re,黎宇,2883/1625,BuiltInModules/re/re3
正则表达式的match函数,使用 match() 匹配模式,2,正则表达式|re,黎宇,2883/1623,BuiltInModules/re/re1
正则表达式的search函数,使用正则表达式的 search() 得到匹配位置,2,正则表达式|re,黎宇,2883/1624,BuiltInModules/re/re2
正则表达式匹配的应用,实现函数匹配包含 . 和 * 的正则表达式,3,正则表达式|re,黎宇,2883/1629,BuiltInModules/re/re7
正则表达式的综合运用,使用正则表达式匹配 qq 号,3,正则表达式|re,黎宇,2883/1628,BuiltInModules/re/re6
正则表达式中sub函数的使用2,使用正则表达式的 sub() 将字符串中的数字乘以2返回,2,正则表达式|re,黎宇,2883/1626,BuiltInModules/re/re4
求绝对值,使用 fabs() 计算绝对值,1,数学基础|math,顾宇,2881/1610,BuiltInModules/math/Fabs
求对数值,使用 log() 求对数,1,数学基础|math,顾宇,2881/1613,BuiltInModules/math/Log
最小公倍数,求两个数的最小公倍数,1,数学基础|math,MOOCTEST,2881/1617,BuiltInModules/math/50_LCM
返回最小的大于或等于n的整数,使用 ceil(n) 返回最小的 >= n 的整数,1,数学基础|math,匿名,2881/1608,BuiltInModules/math/Ceil
求圆的面积,使用 math.pi 求圆的面积,1,数学基础|math,顾宇,2881/1614,BuiltInModules/math/Pi
度转弧度,使用 radians() 将度转为弧度,1,数学基础|math,顾宇,2881/1609,BuiltInModules/math/Degrees
求阶乘,使用 factorial() 求阶乘,1,数学基础|math,顾宇,2881/1611,BuiltInModules/math/Factorial
求三角形斜边长,使用 hypot() 求三角形斜边长,1,数学基础|math,顾宇,2881/1612,BuiltInModules/math/Hypot
求平方根,使用 math.sqrt() 求平方根,1,数学基础|math,顾宇,2881/1615,BuiltInModules/math/Sqrt
最大公约数,求两个数的最大公约数,1,数学基础|math,MOOCTEST,2881/1616,BuiltInModules/math/49_GCD
时间差,计算两个日期之间相差多少天和小时,2,datetime|日期时间,谢子聪,2880/1606,BuiltInModules/datetime/3_TimeDelta
时间戳格式化,将时间戳表示为时间,1,datetime|日期时间,谢子聪,2880/1604,BuiltInModules/datetime/1_Time
Weekday,判断是周几,1,datetime|日期时间,谢子聪,2880/1607,BuiltInModules/datetime/4_Weekday
是第几天,计算某一天是该年的第几天,1,datetime|日期时间,谢子聪,2880/1605,BuiltInModules/datetime/2_WhatDayIsIt
求众数,使用 mode() 求众数,1,statistics|统计基础|数学基础,顾宇,2882/1620,BuiltInModules/statistics/Mode
求中位数,使用 mode() 求中位数,1,statistics|统计基础|数学基础,顾宇,2882/1619,BuiltInModules/statistics/Median
求中位数,求一个列表的中位数,1,统计基础|数学基础,MOOCTEST,1694,BuiltInModules/statistics/48_Median
求平均值,使用 statistics 的 mean() 求平均值,1,statistics|统计基础|数学基础,顾宇,2882/1618,BuiltInModules/statistics/Mean
求标准差,使用 stdev() 求标准差,1,statistics|统计基础|数学基础,顾宇,2882/1621,BuiltInModules/statistics/Stdev
求方差,使用 variance() 求方差,1,statistics|统计基础|数学基础,顾宇,2882/1622,BuiltInModules/statistics/Variance
